ลำดับที่,รหัสทะเบียนวิจัย,ฉบับที่ (ไทย),ฉบับที่ (อังกฤษ),ชื่องานวิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),ชื่อผู้วิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),หน่วยงาน (ไทย),หน่วยงาน (อังกฤษ),สังกัดหน่วยงาน (ไทย),สังกัดหน่วยงาน (อังกฤษ),ชื่อกรม (ไทย),ชื่อกรม (อังกฤษ),ชื่อกระทรวง (ไทย),ชื่อกระทรวง (อังกฤษ),คำสำคัญ (ไทย),คำสำคัญ (อังกฤษ),เลขที่ตั้งหน่วยงาน (ไทย),เลขที่ตั้งหน่วยงาน (อังกฤษ),ชื่อตำบล (ไทย),ชื่อตำบล (อังกฤษ),ชื่ออำเภอ (ไทย),ชื่ออำเภอ (อังกฤษ),ชื่อจังหวัด (ไทย),ชื่อจังหวัด (อังกฤษ),รหัสไปรษณีย์ (เลขไทย),รหัสไปรษณีย์ (เลขอารบิค),หมายเลขโทรศัพท์ (เลขไทย),หมายเลขโทรศัพท์ (เลขอารบิค),หมายเลขโทรสาร (เลขไทย),หมายเลขโทรสาร (เลขอารบิค),ปี พ.ศ. (เลขไทย),ปี ค.ศ. (เลขอารบิค),ปี พ.ศ. (เลขอารบิค),ไฟล์งานวิจัยฉบับย่อ (ไทย),ไฟล์งานวิจัยฉบับย่อ (อังกฤษ),ไฟล์งานวิจัยฉบับเต็ม (รวม),พาทเก็บไฟล์งานวิจัยฉบับย่อ (ไทย),พาทเก็บไฟล์งานวิจัยฉบับย่อ (อังกฤษ),พาทเก็บไฟล์งานวิจัยฉบับเต็ม (รวม)
1,48-0332-45092-043,๑/๒๕๔๘,1/1/2005,"ผลของความเค็มของน้ำต่ออัตราการฟักของไข่ปูม้า (Portunus pelagicus Linnaeus, 1758) จากตับปิ้งปูไข่นอกกระดอง","EFFECTS OF WATER SALINITIES ON THE HATCHING RATES OF EGGS FROM BERRIED APRONS OF BLUE SWIMMING CRAB (Portunus pelagicus Linnaeus, 1758)",วารินทร์ ธนาสมหวัง<br>ภมรพรรณ  ฉัตรภูมิ,"Varin Tanasomwang, Pamornpan Chutpoom",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,Samutsakhon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and Development Bureau													,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ความเค็มของน้ำ, อัตราการฟัก, ไข่ปูม้า, ตับปิ้งไข่ปู","Water salinity, hatching rate, Blue swimming crab egg, Berried apron",ตู้ ปณ.๕๐,P.O. Box 50,โคกขาม,Khok-Kham,เมือง,Muang,สมุทรสาคร,Samutsakhon,74000,74000,๐-๓๔๘-๕๗๑๓-๖ ๐-๓๔๔-๒๖๒๒-๐,0-348-5713-6 0-344-2622-0,๐-๓๔๘-๕๗๑๓-๘,0-348-5713-8,2548,2005,2548,๑๒๕๔๘.pdf,12005.pdf,F12548.pdf,www.coastalaqua.com/research/files/th/๑๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/12005.pdf,http://www.coastalaqua.com/research/files/full/F12548.pdf
2,48-0332-48006,๒/๒๕๔๘,2/1/2005,"พื้นที่แหล่งและทิศทางการกระจายตัวของหอยหลอด ( Solen thailandicus Cosel, 2002) ที่บริเวณชายฝั่งทะเลจังหวัดเพชรบุรี","AREA AND DISTRIBUTION LIMIT OF RAZOR CLAM (Solen thailandicus Cosel, 2002) ALONG THE COAST LINE OF PHETCHABURI PROVINCE",สุนันท์ ทวยเจริญ<br>ทวีชัย สุไพรวัลย์<br>อำนวย คงระเบียบ,"Sunan Tuaycharoen, Tawwechai Supraiwan, Amnuay Kongrabeab",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,"Coastal Fisheries Research and development Bureau, Jatujuk, Bangkok 10900",สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau		,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยหลอด, พื้นที่แหล่ง, ทิศทางการกระจายตัว","Razor clam, Area, Distribution Limit",,,,,,,,,,,-,,-,,2548,2005,2548,๒๒๕๔๘.pdf,22005.pdf,F22548.pdf,www.coastalaqua.com/research/files/th/๒๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/22005.pdf,http://www.coastalaqua.com/research/files/full/F22548.pdf
3,44-44-3-18-07-15-2-208-011,๓/๒๕๔๘,3/1/2005,การแยกชนิดของหอยหลอดในอ่าวไทยตอนบนโดยวิธีอิเลคโตรโฟเรซีส,ELECTROPHOTIC STUDY ON RAZOR CLAMS FROM THE UPPER GULF OF THAILAND,สุนันท์ ทวยเจริญ<br>อำนวย คงระเบียบ,"Sunan Tuaycharoen, Amnuay Kongrabeab",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,"Coastal Fisheries Research and development Bureau, Jatujuk, Bangkok 10901",สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau		,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยหลอด, เอ็นไซม์, อิเล็กโตรโฟเรซีส, อนุกรมวิธาน","Razor Clams, Enzyme, Identified, Electrophoresis",,,,,,,,,,,,,,,2548,2005,2548,๓๒๕๔๘.pdf,32005.pdf,F32548.pdf,www.coastalaqua.com/research/files/th/๓๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/32005.pdf,http://www.coastalaqua.com/research/files/full/F32548.pdf
4,46-0303-46124,๔/๒๕๔๘,4/1/2005,ศึกษาองค์ประกอบชนิด การแพร่กระจายและความชุกชุมของสัตว์น้ำในแต่ละฤดูกาล บริเวณแม่น้ำปากพนังและคลองสาขา,"SPECIES COMPOSITIONS, DISTRIBUTION AND SEASONAL DYNAMICS OF FISH AT PAKPANANG RIVER AND ITS TRIBUTARY",อรัญญา อัศวอารีย์,Aranya Assava-aree,สถาบันวิจัยการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,Coastal Aquaculture Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"องค์ประกอบชนิด, ชนิดสัตว์น้ำ, ลุ่มน้ำปากพนัง","species compostion, aquatic fauna, Pakpanang river.",ถ.เก้าแสน ซ. ๑,Kaosaen Rd. Soi 1,,,เมือง,Muang,สงขลา,Songkhla,90000,90000,๐-๗๔๓-๑๑๘๙-๕  ๐-๗๔๓-๑๒๐๓-๖,0-743-1189-5   0-743-1203-6,,,2548,2005,2548,๔๒๕๔๘.pdf,42005.pdf,F42548.pdf,www.coastalaqua.com/research/files/th/๔๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/42005.pdf,http://www.coastalaqua.com/research/files/full/F42548.pdf
5,47-0332-47150,๕/๒๕๔๘,5/1/2005,"พิษเฉียบพลันของไตรฟลูราลินที่มีต่อลูกกุ้งก้ามกราม (Macrobrachium rosenbergii, de Man) และลูกปลากะพงขาว (Lates calcarifer (Bloch))","ACUTE TOXICITY OF TRIFLURALIN TO LARVAE OF GIANT FRESHWATER PRAWN, (Macrobrachium rosenbergii, de Man) AND SEA BASS, (Lates calcarifer (Bloch))",ยอดชาย กรรณสูตร,Yodchai Karnasuta,ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,Samutsakhon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ไตรฟลูราลิน, พิษเฉียบพลัน, ลูกกุ้งก้ามกราม, ลูกปลากะพงขาว","trifluralin, acute toxicity, giant freshwater prawn larvae, sea bass larvae",ตู้ ปณ.๕๐,P.O. Box 50,โคกขาม,Khok-Kham,เมือง,Muang,สมุทรสาคร,Samutsakhon,74000,74000,,,,,2548,2005,2548,๕๒๕๔๘.pdf,52005.pdf,F52548.pdf,www.coastalaqua.com/research/files/th/๕๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/52005.pdf,http://www.coastalaqua.com/research/files/full/F52548.pdf
6,42-43-2-18-09-15-2-803-133,๖/๒๕๔๘,6/1/2005,ดัชนีทางแบคทีเรียของน้ำทะเลเพื่อการจำแนกพื้นที่ที่เหมาะสมต่อการเลี้ยงหอยสองฝาบริเวณชายฝั่งจังหวัดสุราษฎร์ธานี,BACTERIAL INDICES AND MAPPING OF SUITABLE BIVALVE CULTURE AREA IN THE COASTAL WATER OF SURATTHANI PROVINCE,ประดิษฐ์ ชนชื่นชอบ,Pradit Chonchuenchob,ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฏร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ดัชนีทางแบคทีเรีย, สารสนเทศภูมิศาสตร์, แหล่งน้ำชายฝั่ง, หอยสองฝา, จังหวัดสุราษฎร์ธานี","Bacterial indices, geographical information system, coastal water, bivalves, Suratthani province",,,ตะเคียนทอง,Takienthong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,,,,,2548,2005,2548,๖๒๕๔๘.pdf,62005.pdf,F62548.pdf,www.coastalaqua.com/research/files/th/๖๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/62005.pdf,http://www.coastalaqua.com/research/files/full/F62548.pdf
7,46-0336-46071- 002,๗/๒๕๔๘,7/1/2005,การปนเปื้อนของยาออกซีเตตราซัยคลิน ออกโซลินิกแอซิด และคลอแรมฟินิคอล ในหอยตะโกรมและหอยแครงบริเวณแหล่งเลี้ยงอ่าวบ้านดอน จังหวัดสุราษฎร์ธานี,"CONTAMINATION OF OXYTETRACYCLINE, OXOLINIC ACID AND CHLORAMPHENICOL IN OYSTER AND COCKLE CULYURED IN BANDON BAY, SURATTHANI PROVINCE",ประดิษฐ์ ชนชื่นชอบ<br>สุพาภร แก้วอักษร,"Pradit Chonchuenchob, Supaporn Kaew-aksorn",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฏร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ยาปฏิชีวนะ, หอยตะโกรม, หอยแครง, กุ้งทะเล, อ่าวบ้านดอน","Antibiotics, Oyster, Cockle, Marine shrimp, Bandon Bay",,,ตะเคียนทอง,Takienthong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,48160,84160,,,,,2548,2005,2548,๗๒๕๔๘.pdf,72005.pdf,F72548.pdf,www.coastalaqua.com/research/files/th/๗๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/72005.pdf,http://www.coastalaqua.com/research/files/full/F72548.pdf
8,47-0331-45089-035,๘/๒๕๔๘,8/1/2005,พิษเฉียบพลันของคลอรีน ฟอร์มาลินและแอมโมเนียต่อลูกกุ้งแชบ๊วยระยะโพสต์ลาวา 15,ACUTE TOXICITIES OF CHLORINE FORMALIN AND AMMONIA TO BANANA SHRIMP (Penaeus merguiensis De Man) POST LARVAE 15,เกรียงศักดิ์ เผด็จภัย,Kriengsak Phadetphai,ศูนย์วิจัยและพัฒนาประมงชายฝั่งฉะเชิงเทรา,Chachoengsao Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งแชบ๊วย, พิษเฉียบพลัน, คลอรีน, ฟอร์มาลิน, แอมโมเนียรวม","Banana Shrimp (Penaeus merguiensis), Acute Toxicities, Chlorine, Formalin, Ammonia",,,ท่าสะอ้าน,Ta sa-arn,บางปะกง,Bangpakong,ฉะเชิงเทรา,Chachoengsao,24130,24130,,,,,2548,2005,2548,๘๒๕๔๘.pdf,82005.pdf,F82548.pdf,www.coastalaqua.com/research/files/th/๘๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/82005.pdf,http://www.coastalaqua.com/research/files/full/F82548.pdf
9,46-0303-45097-026,๙/๒๕๔๘,9/1/2005,ประสิทธิภาพของบ่อบำบัดน้ำหมุนเวียนในฟาร์มเลี้ยงกุ้งกุลาดำระบบสมดุลนิเวศ,EFFICIENCY OF WATER RECIRCULATING-TREATMENT POND IN AN ECOLOGICAL BALANCING BLACK TIGER SHRIMP (Penaeus monodon Fabricius) FARM,จามรี รักษ์บางแหลม<br>พุทธ ส่องแสงจินดา,"Jamaree Rakbangleam, Putth Songsangjinda",สถาบันวิจัยการเพาะเลี้ยงกุ้งทะเล,Marine Shrimp Culture  Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ประสิทธิภาพ, บ่อบำบัดน้ำ, กุ้งกุลาดำ, คุณภาพน้ำ","Efficiency, Water treatment pond, Black tiger shrimp, Water Quality",,,ลาดยาว,Ladyao,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,10900,10900,-,-,-,-,2548,2005,2548,๙๒๕๔๘.pdf,92005.pdf,F92548.pdf,www.coastalaqua.com/research/files/th/๙๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/92005.pdf,http://www.coastalaqua.com/research/files/full/F92548.pdf
10,48-332-45092-044,๑๐/๒๕๔๘,10/1/2005,"ผลของความหนาแน่นต่ออัตรารอดตายของลูกปูม้า (Portunus  pelagicus Linnaeus, 1758) ที่อนุบาลในถังไฟเบอร์","EFFECTS OF STOCKING DENSITIES ON THE SURVIVAL RATES OF YOUNG BLUE SWIMMING CRAB (Portunus  pelagicus Linnaeus, 1758) IN FIBER NURSERY TANKS",ภมรพรรณ ฉัตรภูมิ<br>วารินทร์ ธนาสมหวัง,"Pamornpan Chutpoom, Varin Tanasomwang",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสมุทรสาคร,Samutsakon Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ลูกปูม้า, ความหนาแน่น, อัตรารอดตาย","Young blue swimming crab, Stock density, Survival rate",ตู้ ปณ.๕๐,P.O. Box 50,โคกขาม,Khok-Kham,เมือง,Muang,สมุทรสาคร,Samutsakhon,74000,74000,๐-๓๔๘-๕๗๑๓-๖  ๐-๓๔๔-๒๖๒๒-๐,0-348-5713-6   0-344-2622-0,๐-๓๔๘-๕๗๑๓-๘,0-348-5713-8,2548,2005,2548,๑๐๒๕๔๘.pdf,102005.pdf,F102548.pdf,www.coastalaqua.com/research/files/th/๑๐๒๕๔๘.pdf,http://www.coastalaqua.com/research/files/en/102005.pdf,http://www.coastalaqua.com/research/files/full/F102548.pdf
